PERSON_ID,AAR,KJONN,FODSELSAAR,ALDER,KOMMUNENR,NUS2000,SYSSELSATT,TRYGD,INNTEKT
10184694,2020,2,1961,59,5434,10,0,0,160275
10184694,2022,2,1961,61,5434,20,0,1,124782
10251894,2020,1,1942,78,3969,10,0,1,54308
10424541,2020,2,1967,53,4997,70,1,0,702584
10427630,2020,2,1980,40,1142,10,0,0,79178
10469051,2021,1,1963,58,3194,10,1,1,156978
10606738,2023,1,1959,64,1205,10,1,0,409735
10740750,2019,2,2002,17,2944,10,0,1,62604
10808227,2022,1,1969,53,3425,10,1,0,364011
10815331,2019,1,1987,32,2798,10,1,0,739858
10967281,2020,1,1947,73,4219,60,0,1,278783
11165745,2022,2,1961,61,5328,60,1,0,496534
11259890,2021,1,1939,82,1966,10,0,0,167757
11428856,2020,1,1968,52,2557,10,1,0,334382
11428856,2021,1,1968,53,2557,70,1,0,1016026
11452782,2021,1,1958,63,4514,60,0,0,123707
11677643,2022,2,1981,41,2852,60,1,0,585968
11691746,2020,1,1951,69,2987,10,1,0,219828
11728864,2022,1,1963,59,4280,70,1,0,1654121
11781483,2022,1,1977,45,2700,70,1,0,253775
11858139,2022,2,1980,42,5414,70,1,0,293543
11866735,2019,1,1953,66,4668,10,1,1,216848
11917222,2023,2,1958,65,3668,20,1,0,709501
12011024,2019,2,1944,75,1189,20,1,0,509528
12368473,2021,1,1976,45,1360,10,1,1,133505
12404273,2020,1,1992,28,4439,60,0,0,186224
12412142,2021,2,1980,41,5697,70,1,0,389918
12465276,2019,1,1985,34,3834,70,1,0,504514
12465276,2019,1,1985,34,3834,20,1,0,353364
12471377,2023,1,1955,68,1568,70,1,0,1082001
12541869,2023,1,1979,44,3991,10,1,0,319082
12585422,2022,1,1953,69,4657,10,1,1,166789
12585422,2022,1,1953,69,4657,10,0,1,64449
12607381,2022,1,1986,36,1744,70,1,0,209480
12903814,2019,2,1989,30,2724,10,0,0,66473
13211937,2020,2,1946,74,4128,10,0,1,89654
13333059,2022,2,1945,77,2651,20,1,0,710473
13356477,2021,2,1933,88,2419,20,1,0,369002
13582580,2023,2,1944,79,1774,10,1,0,237957
13705252,2023,2,1938,85,4330,10,0,0,196233
13963312,2019,2,1971,48,5196,10,0,0,94668
14066571,2020,2,1932,88,4140,20,1,1,603323
14327575,2021,2,1983,38,2427,70,1,0,299289
14431385,2020,2,1962,58,4888,10,1,0,204818
14818034,2019,1,1979,40,1092,10,1,0,492204
14850424,2023,2,1974,49,4088,10,1,0,395346
14890383,2020,2,1958,62,5544,70,1,0,837138
14902044,2019,1,1954,65,3397,10,1,0,431268
15699482,2020,1,1991,29,5398,70,0,0,177454
15722255,2023,2,1959,64,1652,10,0,0,235889
15745542,2019,1,1966,53,1020,70,1,0,973639
16335406,2019,2,2007,12,1819,20,0,0,45608
16403628,2020,1,1940,80,2609,10,0,1,147699
16422152,2021,2,1970,51,1465,10,0,1,37729
16755143,2019,2,1973,46,2364,10,1,0,637147
16945495,2022,2,1988,34,4841,10,1,1,222155
17020695,2022,2,2001,21,1792,70,1,0,318306
17234879,2019,1,1958,61,2701,70,0,0,326136
